Q	C	D
1110	0.17	5.23
1120	0.17	5.14
1130	0.18	5.1
1140	0.18	5.05
1150	0.17	5.34
1160	0.17	5.11
1170	0.17	5.2
1180	0.17	5.36
1190	0.18	5.75
1200	0.18	5.98
